"","Date","state","value","region"
"1","Feb 29","AK",0,"West"
"2","Mar 1","AK",0,"West"
"3","Mar 2","AK",0,"West"
"4","Mar 3","AK",0,"West"
"5","Mar 4","AK",0,"West"
"6","Mar 6","AK",0,"West"
"7","Mar 7","AK",0,"West"
"8","Mar 8","AK",0,"West"
"9","Mar 9","AK",0,"West"
"10","Mar 10","AK",0,"West"
"11","Mar 11","AK",0,"West"
"12","Mar 12","AK",0,"West"
"13","Mar 13","AK",0,"West"
"14","Mar 14","AK",0,"West"
"15","Mar 15","AK",0,"West"
"16","Mar 16","AK",0,"West"
"17","Mar 17","AK",0,"West"
"18","Mar 18","AK",0,"West"
"19","Mar 19","AK",0,"West"
"20","Mar 20","AK",0,"West"
"21","Mar 21","AK",0,"West"
"22","Mar 22","AK",0,"West"
"23","Mar 23","AK",0,"West"
"24","Mar 24","AK",1,"West"
"25","Mar 25","AK",0,"West"
"26","Mar 26","AK",0,"West"
"27","Mar 27","AK",1,"West"
"28","Mar 28","AK",0,"West"
"29","Mar 29","AK",1,"West"
"30","Mar 30","AK",0,"West"
"31","Mar 31","AK",0,"West"
"32","Apr 1","AK",0,"West"
"33","Apr 2","AK",0,"West"
"34","Apr 3","AK",0,"West"
"35","Apr 4","AK",2,"West"
"36","Apr 5","AK",1,"West"
"37","Apr 6","AK",0,"West"
"38","Apr 7","AK",0,"West"
"39","Apr 8","AK",1,"West"
"40","Apr 9","AK",0,"West"
"41","Apr 10","AK",0,"West"
"42","Apr 11","AK",1,"West"
"43","Apr 12","AK",0,"West"
"44","Apr 13","AK",0,"West"
"45","Feb 29","AZ",0,"West"
"46","Mar 1","AZ",0,"West"
"47","Mar 2","AZ",0,"West"
"48","Mar 3","AZ",0,"West"
"49","Mar 4","AZ",0,"West"
"50","Mar 6","AZ",0,"West"
"51","Mar 7","AZ",0,"West"
"52","Mar 8","AZ",0,"West"
"53","Mar 9","AZ",0,"West"
"54","Mar 10","AZ",0,"West"
"55","Mar 11","AZ",0,"West"
"56","Mar 12","AZ",0,"West"
"57","Mar 13","AZ",0,"West"
"58","Mar 14","AZ",0,"West"
"59","Mar 15","AZ",0,"West"
"60","Mar 16","AZ",0,"West"
"61","Mar 17","AZ",0,"West"
"62","Mar 18","AZ",0,"West"
"63","Mar 19","AZ",0,"West"
"64","Mar 20","AZ",1,"West"
"65","Mar 21","AZ",0,"West"
"66","Mar 22","AZ",1,"West"
"67","Mar 23","AZ",0,"West"
"68","Mar 24","AZ",3,"West"
"69","Mar 25","AZ",0,"West"
"70","Mar 26","AZ",3,"West"
"71","Mar 27","AZ",5,"West"
"72","Mar 28","AZ",2,"West"
"73","Mar 29","AZ",2,"West"
"74","Mar 30","AZ",3,"West"
"75","Mar 31","AZ",4,"West"
"76","Apr 1","AZ",5,"West"
"77","Apr 2","AZ",3,"West"
"78","Apr 3","AZ",9,"West"
"79","Apr 4","AZ",11,"West"
"80","Apr 5","AZ",12,"West"
"81","Apr 6","AZ",1,"West"
"82","Apr 7","AZ",8,"West"
"83","Apr 8","AZ",7,"West"
"84","Apr 9","AZ",9,"West"
"85","Apr 10","AZ",8,"West"
"86","Apr 11","AZ",11,"West"
"87","Apr 12","AZ",7,"West"
"88","Apr 13","AZ",7,"West"
"89","Feb 29","CA",0,"West"
"90","Mar 1","CA",0,"West"
"91","Mar 2","CA",0,"West"
"92","Mar 3","CA",0,"West"
"93","Mar 4","CA",1,"West"
"94","Mar 6","CA",0,"West"
"95","Mar 7","CA",0,"West"
"96","Mar 8","CA",0,"West"
